instrument,block,name,value
z_gcs_1m_adj_sum,fs,b,0.00790914
z_gcs_1m_adj_sum,fs,se_ehw,0.00203785
z_gcs_1m_adj_sum,fs,t_ehw,3.88112
z_gcs_1m_adj_sum,fs,se_hac,0.00213429
z_gcs_1m_adj_sum,fs,t_hac,3.70575
z_gcs_1m_adj_sum,fs,F_eff,13.7326
z_gcs_1m_adj_sum,fs,R2,0.10268
z_gcs_1m_adj_sum,fs,N,228
z_gcs_1m_adj_sum,fs,n_nonzero,215
z_gcs_1m_adj_sum,fs,sd_z,4.28211
z_gcs_1m_adj_sum,fs,sd_us,0.105693
z_gcs_1m_adj_sum,fs,corr,0.320437
z_gcs_1m_adj_sum,naive,b,0.00255627
z_gcs_1m_adj_sum,naive,se_ehw,0.00326908
z_gcs_1m_adj_sum,naive,t_ehw,0.781953
z_gcs_1m_adj_sum,naive,se_hac,0.00298713
z_gcs_1m_adj_sum,naive,t_hac,0.855762
z_gcs_1m_adj_sum,naive,F_eff,0.732328
z_gcs_1m_adj_sum,naive,R2,0.00737752
z_gcs_1m_adj_sum,naive,N,239
z_gcs_1m_adj_sum,naive,n_nonzero,223
z_gcs_1m_adj_sum,naive,sd_z,4.71687
z_gcs_1m_adj_sum,naive,sd_us,0.14038
z_gcs_1m_adj_sum,naive,corr,0.0858925
z_gcs_1m_adj_sum,placebo,t_hac_lead-3,0.389226
z_gcs_1m_adj_sum,placebo,b_lead-3,0.000821583
z_gcs_1m_adj_sum,placebo,t_hac_lead-2,-0.577528
z_gcs_1m_adj_sum,placebo,b_lead-2,-0.00168524
z_gcs_1m_adj_sum,placebo,t_hac_lead-1,-1.2561
z_gcs_1m_adj_sum,placebo,b_lead-1,-0.00247041
z_gcs_1m_adj_sum,placebo,t_hac_lead+0,3.70575
z_gcs_1m_adj_sum,placebo,b_lead+0,0.00790914
z_gcs_1m_adj_sum,placebo,t_hac_lead+1,-2.37475
z_gcs_1m_adj_sum,placebo,b_lead+1,-0.00550426
z_gcs_1m_adj_sum,placebo,t_hac_lead+2,0.345845
z_gcs_1m_adj_sum,placebo,b_lead+2,0.000787084
z_gcs_1m_adj_sum,placebo,t_hac_lead+3,-0.163448
z_gcs_1m_adj_sum,placebo,b_lead+3,-0.000513411
z_gcs_1m_adj_sum,predict,F_hac,1.03484
z_gcs_1m_adj_sum,predict,p_value,0.387472
z_gcs_1m_adj_sum,predict,R2,0.0372499
z_gcs_1m_adj_sum,predict,N,226
z_gcs_1m_adj_sum,predict,ar1_all,-0.197085
z_gcs_1m_adj_sum,predict,ar1_events,-0.199623
z_gcs_1m_adj_sum,influence,F_eff_excl_crisis,8.74271
z_gcs_1m_adj_sum,influence,b_excl_crisis,0.00599279
z_gcs_1m_adj_sum,influence,F_eff_winsorised,15.089
z_gcs_1m_adj_sum,influence,top1_ym,24015
z_gcs_1m_adj_sum,influence,top1_dfbeta,-0.395089
z_gcs_1m_adj_sum,influence,top1_F_without,15.7017
z_gcs_1m_adj_sum,influence,top2_ym,24019
z_gcs_1m_adj_sum,influence,top2_dfbeta,-0.386534
z_gcs_1m_adj_sum,influence,top2_F_without,17.7553
z_gcs_1m_adj_sum,influence,top3_ym,24106
z_gcs_1m_adj_sum,influence,top3_dfbeta,0.375445
z_gcs_1m_adj_sum,influence,top3_F_without,12.2221
z_gcs_1m_adj_sum,influence,top4_ym,24017
z_gcs_1m_adj_sum,influence,top4_dfbeta,0.330796
z_gcs_1m_adj_sum,influence,top4_F_without,11.7773
z_gcs_1m_adj_sum,influence,top5_ym,24035
z_gcs_1m_adj_sum,influence,top5_dfbeta,-0.276264
z_gcs_1m_adj_sum,influence,top5_F_without,15.2742
z_gcs_1m_adj_sum,subsample,F_eff_200101_200812,1.95263
z_gcs_1m_adj_sum,subsample,b_200101_200812,0.0042031
z_gcs_1m_adj_sum,subsample,F_eff_200901_201112,44.1548
z_gcs_1m_adj_sum,subsample,b_200901_201112,0.0167
z_gcs_1m_adj_sum,subsample,F_eff_201201_201912,5.27659
z_gcs_1m_adj_sum,subsample,b_201201_201912,0.00416312
z_gcs_1m_adj_sum,anatomy,share_2001_2008,0.291811
z_gcs_1m_adj_sum,anatomy,sd_us_2001_2008,0.12464
z_gcs_1m_adj_sum,anatomy,share_2009_2011,0.634564
z_gcs_1m_adj_sum,anatomy,sd_us_2009_2011,0.157813
z_gcs_1m_adj_sum,anatomy,share_2012_2019,0.0736257
z_gcs_1m_adj_sum,anatomy,sd_us_2012_2019,0.0441642
z_gcs_1m_adj_sum,anatomy,share_2001,0.190005
z_gcs_1m_adj_sum,anatomy,share_2002,0.00158604
z_gcs_1m_adj_sum,anatomy,share_2003,0.0244071
z_gcs_1m_adj_sum,anatomy,share_2004,-0.00818946
z_gcs_1m_adj_sum,anatomy,share_2005,0.0184823
z_gcs_1m_adj_sum,anatomy,share_2006,-0.0209798
z_gcs_1m_adj_sum,anatomy,share_2007,-0.017053
z_gcs_1m_adj_sum,anatomy,share_2008,0.103553
z_gcs_1m_adj_sum,anatomy,share_2009,0.242949
z_gcs_1m_adj_sum,anatomy,share_2010,-0.0174632
z_gcs_1m_adj_sum,anatomy,share_2011,0.409078
z_gcs_1m_adj_sum,anatomy,share_2012,0.0318687
z_gcs_1m_adj_sum,anatomy,share_2013,0.00589297
z_gcs_1m_adj_sum,anatomy,share_2014,0.0275649
z_gcs_1m_adj_sum,anatomy,share_2015,0.00738287
z_gcs_1m_adj_sum,anatomy,share_2016,0.00514435
z_gcs_1m_adj_sum,anatomy,share_2017,-0.00558202
z_gcs_1m_adj_sum,anatomy,share_2018,0.00149884
z_gcs_1m_adj_sum,anatomy,share_2019,-0.000144966
z_gcs_1m_adj_sum,anatomy,share_top5,0.532843
z_gcs_1m_adj_sum,anatomy,n_half_abs,10
z_gcs_1m_adj_sum,anatomy,top1_ym,24017
z_gcs_1m_adj_sum,anatomy,top1_share,0.145579
z_gcs_1m_adj_sum,anatomy,top2_ym,24016
z_gcs_1m_adj_sum,anatomy,top2_share,0.101147
z_gcs_1m_adj_sum,anatomy,top3_ym,24106
z_gcs_1m_adj_sum,anatomy,top3_share,0.101112
z_gcs_1m_adj_sum,anatomy,top4_ym,24134
z_gcs_1m_adj_sum,anatomy,top4_share,0.0999312
z_gcs_1m_adj_sum,anatomy,top5_ym,24143
z_gcs_1m_adj_sum,anatomy,top5_share,0.0850734
z_gcs_1m_adj_sum,anatomy,top6_ym,24109
z_gcs_1m_adj_sum,anatomy,top6_share,0.0809629
z_gcs_1m_adj_sum,anatomy,top7_ym,24113
z_gcs_1m_adj_sum,anatomy,top7_share,0.0684869
z_gcs_1m_adj_sum,anatomy,top8_ym,24142
z_gcs_1m_adj_sum,anatomy,top8_share,0.0579997
z_gcs_1m_adj_sum,anatomy,top9_ym,24140
z_gcs_1m_adj_sum,anatomy,top9_share,0.0550891
z_gcs_1m_adj_sum,anatomy,top10_ym,24133
z_gcs_1m_adj_sum,anatomy,top10_share,0.054955
z_gcs_1m_adj_sum,predict,lags_R2,0.267489
z_gcs_1m_adj_sum,predict,lags_F_hac,1.75
z_gcs_1m_adj_sum,predict,lags_p_value,0.00100889
z_gcs_1m_adj_sum,predict,lags_q,48
z_gcs_1m_adj_sum,predict,predchg_b,-5.68559
z_gcs_1m_adj_sum,predict,predchg_t_hac,-1.0833
z_gcs_1m_adj_sum,predict,predchg_R2,0.0112016
