instrument,block,name,value
z_gcs_1m_adj_sum,fs,b,0.0086074
z_gcs_1m_adj_sum,fs,se_ehw,0.00216592
z_gcs_1m_adj_sum,fs,t_ehw,3.97401
z_gcs_1m_adj_sum,fs,se_hac,0.00224555
z_gcs_1m_adj_sum,fs,t_hac,3.8331
z_gcs_1m_adj_sum,fs,F_eff,14.6927
z_gcs_1m_adj_sum,fs,R2,0.113062
z_gcs_1m_adj_sum,fs,N,228
z_gcs_1m_adj_sum,fs,n_nonzero,215
z_gcs_1m_adj_sum,fs,sd_z,4.28211
z_gcs_1m_adj_sum,fs,sd_us,0.109615
z_gcs_1m_adj_sum,fs,corr,0.336247
z_gcs_1m_adj_sum,naive,b,0.00255627
z_gcs_1m_adj_sum,naive,se_ehw,0.00326908
z_gcs_1m_adj_sum,naive,t_ehw,0.781953
z_gcs_1m_adj_sum,naive,se_hac,0.00298713
z_gcs_1m_adj_sum,naive,t_hac,0.855762
z_gcs_1m_adj_sum,naive,F_eff,0.732328
z_gcs_1m_adj_sum,naive,R2,0.00737752
z_gcs_1m_adj_sum,naive,N,239
z_gcs_1m_adj_sum,naive,n_nonzero,223
z_gcs_1m_adj_sum,naive,sd_z,4.71687
z_gcs_1m_adj_sum,naive,sd_us,0.14038
z_gcs_1m_adj_sum,naive,corr,0.0858925
z_gcs_1m_adj_sum,placebo,t_hac_lead-3,0.471485
z_gcs_1m_adj_sum,placebo,b_lead-3,0.00104159
z_gcs_1m_adj_sum,placebo,t_hac_lead-2,-0.502167
z_gcs_1m_adj_sum,placebo,b_lead-2,-0.0014904
z_gcs_1m_adj_sum,placebo,t_hac_lead-1,-1.13891
z_gcs_1m_adj_sum,placebo,b_lead-1,-0.00236779
z_gcs_1m_adj_sum,placebo,t_hac_lead+0,3.8331
z_gcs_1m_adj_sum,placebo,b_lead+0,0.0086074
z_gcs_1m_adj_sum,placebo,t_hac_lead+1,-2.13057
z_gcs_1m_adj_sum,placebo,b_lead+1,-0.00503193
z_gcs_1m_adj_sum,placebo,t_hac_lead+2,0.360905
z_gcs_1m_adj_sum,placebo,b_lead+2,0.000850282
z_gcs_1m_adj_sum,placebo,t_hac_lead+3,-0.108888
z_gcs_1m_adj_sum,placebo,b_lead+3,-0.000362927
z_gcs_1m_adj_sum,predict,F_hac,1.04528
z_gcs_1m_adj_sum,predict,p_value,0.382048
z_gcs_1m_adj_sum,predict,R2,0.0373898
z_gcs_1m_adj_sum,predict,N,226
z_gcs_1m_adj_sum,predict,ar1_all,-0.197085
z_gcs_1m_adj_sum,predict,ar1_events,-0.199623
z_gcs_1m_adj_sum,influence,F_eff_excl_crisis,9.96792
z_gcs_1m_adj_sum,influence,b_excl_crisis,0.00651066
z_gcs_1m_adj_sum,influence,F_eff_winsorised,16.5172
z_gcs_1m_adj_sum,influence,top1_ym,24019
z_gcs_1m_adj_sum,influence,top1_dfbeta,-0.453182
z_gcs_1m_adj_sum,influence,top1_F_without,20.7238
z_gcs_1m_adj_sum,influence,top2_ym,24015
z_gcs_1m_adj_sum,influence,top2_dfbeta,-0.410313
z_gcs_1m_adj_sum,influence,top2_F_without,16.9388
z_gcs_1m_adj_sum,influence,top3_ym,24106
z_gcs_1m_adj_sum,influence,top3_dfbeta,0.393306
z_gcs_1m_adj_sum,influence,top3_F_without,13.34
z_gcs_1m_adj_sum,influence,top4_ym,24017
z_gcs_1m_adj_sum,influence,top4_dfbeta,0.282231
z_gcs_1m_adj_sum,influence,top4_F_without,12.5888
z_gcs_1m_adj_sum,influence,top5_ym,24035
z_gcs_1m_adj_sum,influence,top5_dfbeta,-0.263851
z_gcs_1m_adj_sum,influence,top5_F_without,16.0402
z_gcs_1m_adj_sum,subsample,F_eff_200101_200812,2.15546
z_gcs_1m_adj_sum,subsample,b_200101_200812,0.00468374
z_gcs_1m_adj_sum,subsample,F_eff_200901_201112,36.6983
z_gcs_1m_adj_sum,subsample,b_200901_201112,0.0172163
z_gcs_1m_adj_sum,subsample,F_eff_201201_201912,7.54693
z_gcs_1m_adj_sum,subsample,b_201201_201912,0.00552271
